level,unit_id,unit_name,zone,terminal,ym,incidents_total,incidents_high_critical,injuries,spills,near_miss,security_events,equipment_failures,avg_close_days
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2026-01,1,0,0,1,0,0,0,5.9
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2026-01,1,1,1,0,0,0,0,2.6
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2026-01,1,0,0,0,0,0,1,1.6
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2026-01,1,1,1,0,0,0,0,3.2
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2026-01,1,1,0,0,0,0,1,2.9
port,REFPT,Reference Port,,,2026-02,7,2,1,0,0,0,3,3.7
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2026-02,1,0,0,0,0,0,0,2.2
zone,CONTAINER,Container,Container,,2026-02,5,2,1,0,0,0,3,3.8
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2026-02,1,0,0,0,0,0,0,4.4
terminal,CT1,Container Terminal 1,Container,CT1,2026-02,1,0,0,0,0,0,1,3.2
terminal,CT2,Container Terminal 2,Container,CT2,2026-02,1,0,0,0,0,0,1,5.8
terminal,CT4,Container Terminal 4,Container,CT4,2026-02,2,1,0,0,0,0,1,3.8
terminal,CT5,Container Terminal 5,Container,CT5,2026-02,1,1,1,0,0,0,0,2.6
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2026-02,1,0,0,0,0,0,0,4.4
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2026-02,1,0,0,0,0,0,0,2.2
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2026-02,1,0,0,0,0,0,1,3.2
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2026-02,1,0,0,0,0,0,1,5.8
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2026-02,2,1,0,0,0,0,1,3.8
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2026-02,1,1,1,0,0,0,0,2.6
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2026-02,1,0,0,0,0,0,0,4.4
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2026-02,1,0,0,0,0,0,0,2.2
port,REFPT,Reference Port,,,2026-03,8,2,1,0,3,0,1,3.3
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2026-03,2,0,1,0,0,0,0,4.4
zone,CONTAINER,Container,Container,,2026-03,5,2,0,0,3,0,0,3.1
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2026-03,1,0,0,0,0,0,1,2.2
terminal,CT3,Container Terminal 3,Container,CT3,2026-03,1,1,0,0,0,0,0,4.0
terminal,CT4,Container Terminal 4,Container,CT4,2026-03,4,1,0,0,3,0,0,2.9
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2026-03,1,0,0,0,0,0,1,2.2
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2026-03,2,0,1,0,0,0,0,4.4
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2026-03,1,1,0,0,0,0,0,4.0
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2026-03,3,1,0,0,2,0,0,2.7
berth,CT4-2,CT4-2 — CT4 Berth 2,Container,CT4,2026-03,1,0,0,0,1,0,0,3.5
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2026-03,1,0,0,0,0,0,1,2.2
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2026-03,2,0,1,0,0,0,0,4.4
port,REFPT,Reference Port,,,2026-04,4,2,0,2,0,0,0,3.1
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2026-04,2,0,0,1,0,0,0,2.8
zone,CONTAINER,Container,Container,,2026-04,1,1,0,0,0,0,0,4.4
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2026-04,1,1,0,1,0,0,0,2.3
terminal,CT4,Container Terminal 4,Container,CT4,2026-04,1,1,0,0,0,0,0,4.4
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2026-04,2,0,0,1,0,0,0,2.8
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2026-04,1,1,0,1,0,0,0,2.3
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2026-04,1,1,0,0,0,0,0,4.4
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2026-04,2,0,0,1,0,0,0,2.8
berth,SPM-2,SPM-2 — Single Point Mooring 2 (crude),Liquid & Offshore,SPM,2026-04,1,1,0,1,0,0,0,2.3
port,REFPT,Reference Port,,,2026-05,7,1,1,0,0,0,0,3.4
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2026-05,1,0,0,0,0,0,0,4.6
zone,CONTAINER,Container,Container,,2026-05,1,1,0,0,0,0,0,3.8
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2026-05,5,0,1,0,0,0,0,3.1
terminal,CT4,Container Terminal 4,Container,CT4,2026-05,1,1,0,0,0,0,0,3.8
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2026-05,3,0,0,0,0,0,0,2.9
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2026-05,1,0,0,0,0,0,0,4.6
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2026-05,2,0,1,0,0,0,0,3.4
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2026-05,1,1,0,0,0,0,0,3.8
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2026-05,1,0,0,0,0,0,0,1.6
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2026-05,2,0,0,0,0,0,0,3.5
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2026-05,1,0,0,0,0,0,0,4.6
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2026-05,2,0,1,0,0,0,0,3.4
port,REFPT,Reference Port,,,2026-06,7,3,0,1,0,0,1,3.5
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2026-06,1,0,0,0,0,0,1,1.8
zone,CONTAINER,Container,Container,,2026-06,5,3,0,1,0,0,0,3.9
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2026-06,1,0,0,0,0,0,0,2.9
terminal,CT1,Container Terminal 1,Container,CT1,2026-06,1,1,0,0,0,0,0,2.4
terminal,CT2,Container Terminal 2,Container,CT2,2026-06,2,1,0,1,0,0,0,4.7
terminal,CT3,Container Terminal 3,Container,CT3,2026-06,1,0,0,0,0,0,0,4.9
terminal,CT5,Container Terminal 5,Container,CT5,2026-06,1,1,0,0,0,0,0,2.9
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2026-06,1,0,0,0,0,0,0,2.9
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2026-06,1,0,0,0,0,0,1,1.8
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2026-06,1,1,0,0,0,0,0,2.4
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2026-06,2,1,0,1,0,0,0,4.7
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2026-06,1,0,0,0,0,0,0,4.9
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2026-06,1,1,0,0,0,0,0,2.9
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2026-06,1,0,0,0,0,0,0,2.9
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2026-06,1,0,0,0,0,0,1,1.8
port,REFPT,Reference Port,,,2026-07,3,1,1,1,1,0,0,3.5
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2026-07,1,1,1,0,0,0,0,3.6
zone,CONTAINER,Container,Container,,2026-07,2,0,0,1,1,0,0,3.5
terminal,CT4,Container Terminal 4,Container,CT4,2026-07,1,0,0,1,0,0,0,3.5
terminal,CT5,Container Terminal 5,Container,CT5,2026-07,1,0,0,0,1,0,0,3.4
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2026-07,1,1,1,0,0,0,0,3.6
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2026-07,1,0,0,1,0,0,0,3.5
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2026-07,1,0,0,0,1,0,0,3.4
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2026-07,1,1,1,0,0,0,0,3.6
port,REFPT,Reference Port,,,2026-08,8,0,0,2,1,0,0,4.7
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2026-08,3,0,0,0,0,0,0,4.7
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2026-08,5,0,0,2,1,0,0,
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2026-08,4,0,0,2,1,0,0,
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2026-08,2,0,0,0,0,0,0,4.7
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2026-08,1,0,0,0,0,0,0,
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2026-08,1,0,0,0,0,0,0,
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2026-08,1,0,0,0,1,0,0,
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2026-08,2,0,0,2,0,0,0,
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2026-08,1,0,0,0,0,0,0,
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2026-08,1,0,0,0,0,0,0,3.8
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2026-08,1,0,0,0,0,0,0,5.6
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2026-08,1,0,0,0,0,0,0,
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2026-08,1,0,0,0,0,0,0,
